site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
exrapidleech.info/index.php,728,2692,1517,28,-1,0,-1,5,33,0,18,9,1,0,TRUE,
eztv.ag,49,1441,127,30,0,0,0,0,0,0,8,2,0,0,FALSE,
fakeporn.tv,0,0,2,0,0,0,0,0,0,0,0,2,0,0,FALSE,
faktypilskie.pl,-7,-25,6,-4,0,0,0,0,0,-1,0,4,1,0,TRUE,
farodevigo.es,1678,6149,4554,1256,0,31,76,162,27,138,682,36,1,0,TRUE,
fdesouche.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
filesupload.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
finanzen.net,-11,-374,-7,-8,0,0,0,-5,0,0,-2,0,1,0,FALSE,
firstone.tv,-4,-20,-12,0,0,0,0,-2,0,0,0,0,1,0,FALSE,
firstonetv.eu/index,-4,-20,-12,0,0,0,0,-2,0,0,0,0,1,0,FALSE,
firstonetv.eu/live/france/motorsport.tv-167,-3,-15,0,0,0,0,0,-2,0,0,1,1,1,0,TRUE,
firstonetv.net,-4,-20,-12,0,0,0,0,-2,0,0,0,0,1,0,FALSE,
flashgames.ru,0,0,18,0,0,0,0,-3,0,0,0,6,0,0,FALSE,
flingtrainers.com,2,4,12,1,0,0,0,0,0,0,0,3,0,0,FALSE,
florydinvaslui.ro,12,100,69,9,0,0,0,8,0,0,0,4,0,0,FALSE,
fm.tuba.pl,20,461,49,10,0,0,0,0,0,1,2,7,0,0,FALSE,
foodnetwork.com,-6,-57,5,0,0,0,0,0,0,0,-2,6,1,0,FALSE,
forbes.com,-2,-48,-14,-7,0,0,0,0,-1,0,-1,5,1,0,TRUE,
foros.3dgames.com.ar,0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,
forumcoin.win/bitcoin,60,407,123,34,0,0,-1,8,0,3,30,5,1,0,TRUE,
forusex.com/fs/6202,0,0,3,3,0,0,0,0,0,0,0,2,0,0,TRUE,
fosshub.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
fox.com.tr,-10,-60,-38,-13,0,-2,-2,-1,0,0,0,0,1,0,TRUE,
freeomovie.com,1,2,8,8,0,0,0,0,0,0,0,1,0,0,FALSE,
freerapidleechlist.blogspot.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
freshvideos.net,0,-24,-2,-4,1,0,0,0,0,0,0,-1,0,0,FALSE,
ft.com,4,35,19,8,0,0,0,1,0,1,3,2,1,0,FALSE,
fuckingsession.com/exploitedcollegegirls-ryanne,6,59,19,6,0,0,0,1,0,0,3,4,0,0,FALSE,
fullmatchesandshows.com,2,4481,26,7,0,0,0,5,0,0,0,-1,1,0,FALSE,
fullstuff.co,0,0,21,0,0,0,0,0,0,0,0,5,0,0,FALSE,
funradio.fr,7,34,76,17,0,1,0,2,0,1,4,10,1,0,FALSE,
fwmrm.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
fxporn69.com,8,298,30,26,0,0,0,-3,0,0,4,3,0,0,FALSE,
gaana.com,-1,-90,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,
gamekings.tv,0,0,2,0,0,0,0,0,0,0,0,1,0,0,FALSE,
gamekit.com,2,68,13,0,0,0,0,0,0,0,0,6,0,0,FALSE,
gamestar.de,31,1112,76,11,0,0,0,12,0,1,0,3,1,0,FALSE,
gaybeeg.info,1,27,599,589,0,0,0,0,0,0,0,1,1,0,FALSE,
gentecheesisterealmente.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
geo.de,5,133,126,46,0,0,0,13,0,2,4,25,0,0,FALSE,
getadmiral.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
github.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
goalsarena.org,1,197,16,4,0,0,0,0,0,0,0,5,0,0,FALSE,
goaltogoals.com/barcelona-vs-psg-highlights-full-match,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
goldpelis.net,1,2,2,1,0,0,0,0,0,0,0,1,0,0,FALSE,
golem.de,40,3157,157,38,0,0,0,0,0,0,0,15,1,0,FALSE,
gpone.com,6,68,81,15,0,0,0,11,0,0,0,10,0,0,FALSE,
gr8forte.org,1,3,6,3,0,0,0,0,0,0,1,1,0,0,FALSE,
gsmarena.com,-7,-15,-34,-19,0,0,0,0,0,0,0,-9,1,0,FALSE,
guiadobitcoin.com.br,-6,-88,3,-1,-1,0,0,1,0,-2,-2,1,1,0,TRUE,
gymhuntr.com,0,-6,15,-1,0,0,0,0,0,0,0,4,1,0,TRUE,
haaretz.com,16,109,177,61,0,0,9,11,0,8,14,22,1,0,FALSE,
haber1903.com,5,62,80,1,0,0,0,0,0,0,0,15,0,0,FALSE,
haberler.com,0,-84,22,8,0,0,0,0,0,0,0,7,0,0,FALSE,
hackintosh.zone,692,2546,3120,363,1,15,69,10,0,129,444,4,0,0,TRUE,
hdfree.se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
hdwall.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
hdzog.com,-5,-112,95,99,0,0,0,-4,0,0,0,0,1,0,TRUE,
heidelberg24.de,260,2080,953,495,0,0,45,5,0,2,133,12,1,1,TRUE,
hellojav.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
hells-hack.com,0,0,8,0,0,0,0,0,0,0,0,1,1,0,TRUE,
hentaienespañol.net,2,12,6,2,0,0,0,0,0,0,0,2,0,0,FALSE,
hentaihaven.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
hibapress.com,11,49,55,19,0,0,0,8,0,0,1,6,0,0,FALSE,
hindistop.com,45,1111,212,105,-1,10,0,13,0,5,43,1,1,0,TRUE,
history.com,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,FALSE,
history.com/topics/middle-ages/videos/printing-press,4,65,11,-1,1,-1,0,0,0,1,-1,2,1,0,FALSE,
hockeybuzz.com,-2,-4,26,0,0,0,0,0,0,0,-1,9,1,0,TRUE,
homemoviestube.com,0,0,6,0,0,0,0,0,0,0,0,6,1,0,FALSE,
