site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
localnewcomer.de,0,0,-15,-13,0,0,0,-2,0,0,0,0,0,0,?
amazon.com,5,1,79,-5,0,0,0,11,0,0,22,2,1,0,?
n24.de,3,109,10,0,0,0,0,0,0,0,0,1,0,0,?
schneidersladen.de,0,2,0,0,0,0,0,0,0,0,0,0,0,0,?
youtube.de,-43,464,-783,-342,1,-4,-28,-33,0,0,-92,0,1,1,?
commerzbank.de,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
wirz.de,0,0,9,0,0,0,0,0,0,0,0,1,0,0,?
puremonde.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
jodies.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
outlook.k12.de.us,25,170,19,12,0,0,0,0,0,0,0,0,0,0,?
surveymonkey.de,0,0,2,0,0,0,0,1,0,0,0,0,0,0,?
english-4u.de,0,0,15,0,0,0,0,0,0,0,0,4,0,0,?
zoll.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
immobilienscout24.de,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,?
metadragon.de,0,0,34,17,0,0,0,17,0,0,0,0,0,0,?
cr.k12.de.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
developers.de,24,171,19,12,0,0,0,0,0,0,0,0,0,0,?
globist.de,0,0,14,0,0,0,0,0,0,0,0,3,0,0,?
comunio.de,5,124,6,0,0,0,0,-3,0,0,0,-1,1,0,?
freenet.de,7,197,122,55,0,0,0,10,0,0,11,17,0,0,?
wikia.com,0,4,-5,-2,0,0,0,0,0,0,0,0,0,0,?
kent.de.us,22,162,17,12,0,0,0,0,0,0,-1,0,0,0,?
saberproject.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
expedia.de,3,40,16,8,0,0,0,1,0,0,3,8,1,0,?
minecraft-smp.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
bib-bvb.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
desipro.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
suchtgames.de,0,2,16,0,0,0,0,0,0,0,0,4,0,0,?
dynacast.de,0,0,-16,0,0,0,0,0,0,0,0,-16,0,0,?
tu-muenchen.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
motor-talk.de,-3,86,18,-1,0,0,0,-2,0,0,0,9,1,0,?
upgr.de,0,0,3,0,0,0,0,2,0,0,0,0,0,0,?
glueckstreter.de,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,?
revell.de,0,6,0,0,0,0,0,0,0,0,0,0,0,0,?
fs.k12.de.us,22,162,17,12,0,0,0,0,0,0,-1,0,0,0,?
4players.de,8,958,99,-1,0,0,0,43,0,0,1,21,1,0,?
kundenserver.de,22,165,17,12,0,0,0,0,0,0,-1,0,0,0,?
dict.cc,-2,-34,15,2,0,0,0,1,0,0,0,2,0,0,?
trauer-ndz.de,6,11,40,6,0,0,0,8,0,0,3,2,0,0,?
blogspot.de,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,?
brian-amberg.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
emporis.de,0,0,1,0,0,0,0,0,0,0,0,1,0,0,?
vk.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
d3bris.de,0,0,18,0,0,0,0,1,0,0,0,5,1,0,?
fiducia.de,-1,-48,-3,0,0,0,0,0,0,0,0,0,0,0,?
heibel-ticker.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
outlet46.de,0,0,0,1,0,0,0,-2,0,0,0,1,0,0,?
hochschule-rhein-waal.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
